Video #,Cell,Track,assigned_state_code,assigned_state,assignment_method,start_frame,end_frame,duration_frames,valid_frame_count,stable_frame_count,short_run_frame_count,raw_frames_diffusion,raw_frames_constrained_diffusion,raw_frames_bound,stable_frames_diffusion,stable_frames_constrained_diffusion,stable_frames_bound,duration_s
4,1,3,0,diffusion,single_stable_state,899,916,18,18,17,1,17,1,0,17,0,0,0.18
4,1,4,0,diffusion,single_stable_state,898,907,10,10,10,0,10,0,0,10,0,0,0.1
5,1,5,0,diffusion,single_stable_state,432,441,10,10,10,0,10,0,0,10,0,0,0.1
5,1,9,0,diffusion,single_stable_state,663,676,14,14,11,3,11,3,0,11,0,0,0.14
5,1,12,0,diffusion,single_stable_state,760,770,11,11,11,0,11,0,0,11,0,0,0.11
5,1,14,0,diffusion,single_stable_state,780,793,14,14,14,0,14,0,0,14,0,0,0.14
5,1,18,0,diffusion,single_stable_state,838,848,11,11,9,2,9,2,0,9,0,0,0.11
5,1,21,0,diffusion,single_stable_state,988,1007,20,20,20,0,20,0,0,20,0,0,0.2
5,1,27,0,diffusion,single_stable_state,1128,1147,20,20,20,0,20,0,0,20,0,0,0.2
5,1,28,0,diffusion,single_stable_state,1182,1192,11,11,11,0,11,0,0,11,0,0,0.11
5,1,32,0,diffusion,single_stable_state,1756,1785,30,30,30,0,30,0,0,30,0,0,0.3
5,1,38,0,diffusion,single_stable_state,2023,2034,12,12,12,0,12,0,0,12,0,0,0.12
5,1,44,0,diffusion,single_stable_state,2226,2235,10,10,10,0,10,0,0,10,0,0,0.1
5,2,7,0,diffusion,single_stable_state,334,344,11,11,11,0,11,0,0,11,0,0,0.11
5,2,10,1,constrained_diffusion,single_stable_state,426,438,13,13,13,0,0,13,0,0,13,0,0.13
5,2,17,0,diffusion,single_stable_state,717,731,15,15,15,0,15,0,0,15,0,0,0.15
5,2,18,0,diffusion,single_stable_state,731,740,10,10,10,0,10,0,0,10,0,0,0.1
5,2,22,0,diffusion,single_stable_state,1046,1062,17,17,17,0,17,0,0,17,0,0,0.17
5,2,27,1,constrained_diffusion,single_stable_state,1910,1960,51,51,51,0,0,51,0,0,51,0,0.51
5,2,29,1,constrained_diffusion,single_stable_state,2205,2222,18,18,18,0,0,18,0,0,18,0,0.18
5,2,35,0,diffusion,single_stable_state,3055,3066,12,12,10,2,10,2,0,10,0,0,0.12
5,2,36,0,diffusion,single_stable_state,3081,3102,22,22,21,1,21,1,0,21,0,0,0.22
5,2,37,0,diffusion,single_stable_state,3238,3250,13,13,12,1,12,1,0,12,0,0,0.13
5,2,38,0,diffusion,single_stable_state,3482,3493,12,12,10,2,10,2,0,10,0,0,0.12
5,2,45,0,diffusion,single_stable_state,3808,3817,10,10,10,0,10,0,0,10,0,0,0.1
5,3,1,0,diffusion,single_stable_state,0,9,10,10,9,1,9,1,0,9,0,0,0.1
5,3,13,0,diffusion,single_stable_state,78,91,14,14,14,0,14,0,0,14,0,0,0.14
5,3,23,0,diffusion,single_stable_state,182,199,18,18,16,2,16,2,0,16,0,0,0.18
5,3,28,0,diffusion,single_stable_state,243,254,12,12,12,0,12,0,0,12,0,0,0.12
5,3,31,0,diffusion,single_stable_state,262,273,12,12,12,0,12,0,0,12,0,0,0.12
5,3,36,2,bound,single_stable_state,322,332,11,11,8,3,0,3,8,0,0,8,0.11
5,3,44,0,diffusion,single_stable_state,478,487,10,10,9,1,9,1,0,9,0,0,0.1
5,3,46,0,diffusion,single_stable_state,487,502,16,16,16,0,16,0,0,16,0,0,0.16
5,3,47,0,diffusion,single_stable_state,500,519,20,20,20,0,20,0,0,20,0,0,0.2
5,3,51,0,diffusion,single_stable_state,556,566,11,11,11,0,11,0,0,11,0,0,0.11
5,3,71,0,diffusion,single_stable_state,794,806,13,13,13,0,13,0,0,13,0,0,0.13
5,3,75,1,constrained_diffusion,single_stable_state,872,886,15,15,15,0,0,15,0,0,15,0,0.15
5,3,77,2,bound,single_stable_state,911,978,68,68,67,1,0,1,67,0,0,67,0.68
5,3,82,0,diffusion,single_stable_state,970,982,13,13,13,0,13,0,0,13,0,0,0.13
5,3,85,0,diffusion,single_stable_state,985,996,12,12,12,0,12,0,0,12,0,0,0.12
5,3,91,0,diffusion,single_stable_state,1040,1053,14,14,14,0,14,0,0,14,0,0,0.14
5,3,111,0,diffusion,single_stable_state,1369,1386,18,18,18,0,18,0,0,18,0,0,0.18
5,3,118,2,bound,single_stable_state,1414,1453,40,40,39,1,0,1,39,0,0,39,0.4
5,3,128,0,diffusion,single_stable_state,1747,1758,12,12,12,0,12,0,0,12,0,0,0.12
5,3,141,0,diffusion,single_stable_state,2037,2046,10,10,10,0,10,0,0,10,0,0,0.1
5,3,142,0,diffusion,single_stable_state,2060,2070,11,11,11,0,11,0,0,11,0,0,0.11
5,3,146,1,constrained_diffusion,single_stable_state,2179,2192,14,14,14,0,0,14,0,0,14,0,0.14
5,3,147,0,diffusion,single_stable_state,2214,2226,13,13,13,0,13,0,0,13,0,0,0.13
5,3,149,0,diffusion,single_stable_state,2257,2269,13,13,13,0,13,0,0,13,0,0,0.13
5,3,155,0,diffusion,single_stable_state,2320,2332,13,13,13,0,13,0,0,13,0,0,0.13
5,3,166,0,diffusion,single_stable_state,2565,2576,12,12,10,2,10,2,0,10,0,0,0.12
5,3,170,1,constrained_diffusion,single_stable_state,2687,2699,13,13,13,0,0,13,0,0,13,0,0.13
5,3,171,0,diffusion,single_stable_state,2687,2698,12,12,12,0,12,0,0,12,0,0,0.12
5,3,175,1,constrained_diffusion,single_stable_state,2815,2825,11,11,11,0,0,11,0,0,11,0,0.11
5,3,178,0,diffusion,single_stable_state,2998,3009,12,12,12,0,12,0,0,12,0,0,0.12
5,3,179,0,diffusion,single_stable_state,3008,3017,10,10,10,0,10,0,0,10,0,0,0.1
5,3,182,0,diffusion,single_stable_state,3086,3097,12,12,12,0,12,0,0,12,0,0,0.12
5,3,190,0,diffusion,single_stable_state,3216,3228,13,13,13,0,13,0,0,13,0,0,0.13
5,3,195,0,diffusion,single_stable_state,3264,3273,10,10,10,0,10,0,0,10,0,0,0.1
5,3,207,0,diffusion,single_stable_state,3505,3514,10,10,10,0,10,0,0,10,0,0,0.1
5,3,210,0,diffusion,single_stable_state,3566,3575,10,10,10,0,10,0,0,10,0,0,0.1
5,3,211,0,diffusion,single_stable_state,3594,3610,17,17,16,1,16,1,0,16,0,0,0.17
5,3,220,0,diffusion,single_stable_state,3689,3703,15,15,15,0,15,0,0,15,0,0,0.15
5,3,227,0,diffusion,single_stable_state,3754,3767,14,14,14,0,14,0,0,14,0,0,0.14
5,4,8,0,diffusion,single_stable_state,295,308,14,14,14,0,14,0,0,14,0,0,0.14
5,4,9,0,diffusion,single_stable_state,312,323,12,12,12,0,12,0,0,12,0,0,0.12
5,4,12,0,diffusion,single_stable_state,550,563,14,14,14,0,14,0,0,14,0,0,0.14
5,4,13,0,diffusion,single_stable_state,619,628,10,10,10,0,10,0,0,10,0,0,0.1
5,4,15,2,bound,single_stable_state,788,801,14,14,12,2,0,2,12,0,0,12,0.14
5,4,21,0,diffusion,single_stable_state,1184,1197,14,14,14,0,14,0,0,14,0,0,0.14
5,4,25,0,diffusion,single_stable_state,1576,1595,20,20,20,0,20,0,0,20,0,0,0.2
