protein,dataset_name,condition,replicate,track_id,distance_to_H2B_Bound,distance_to_MCM2_Bound,P_H2B_Bound,P_MCM2_Bound,closer_to_bound_control
NONO,HAP1-0426-CT,CT,426,6,0.7443088034163844,0.7183121871766225,0.4983350990542935,0.5016649009457065,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,7,4.144574682412737,4.178467658544969,0.511911463877526,0.488088536122474,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,11,0.4592781592477786,0.43051703254937573,0.49886242011133775,0.5011375798886623,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,16,1.5254025135911773,1.4786034749005903,0.493984949807151,0.506015050192849,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,22,0.5650323422469015,0.5925930945056219,0.5013012944799942,0.4986987055200058,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,26,1.3797173015928388,1.3359605860370738,0.49490765487611743,0.5050923451238826,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,27,1.228557678610293,1.1818378344667637,0.49517129154214623,0.5048287084578538,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,31,0.8743176416716667,0.828254289336868,0.49662133727297975,0.5033786627270203,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,33,1.6117794290247927,1.5655773673537903,0.49372132703833793,0.5062786729616621,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,34,1.3575430548220762,1.3142305436691812,0.49503947286431993,0.5049605271356801,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,35,0.6498016626650905,0.6148196174739137,0.49807143984132785,0.5019285601586722,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,36,1.5438594931579503,1.4971184260398447,0.493919043795653,0.506080956204347,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,39,0.4433159440893432,0.4000747308077313,0.49840101400793657,0.5015989859920634,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,40,2.2469579914103757,2.27395139670342,0.5051242260505686,0.49487577394943144,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,42,1.277893815135854,1.2368197376051067,0.49556675153014296,0.504433248469857,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,43,1.6405504618844104,1.5942074715182624,0.4935895169540079,0.5064104830459921,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,44,1.277893815135854,1.2368197376051067,0.49556675153014296,0.504433248469857,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,51,1.5286726201080816,1.4830250530835158,0.49411676245499747,0.5058832375450025,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,53,1.2604578604280454,1.2200706535153536,0.4956985727832379,0.5043014272167621,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,54,1.6405504618844104,1.5942074715182624,0.4935895169540079,0.5064104830459921,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,55,1.3158239371285667,1.2735333729089078,0.495303110891274,0.504696889108726,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,63,2.621676355197481,2.6474907546017064,0.5057173971543691,0.4942826028456309,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,65,1.4468738400995653,1.4551904117044585,0.5009717179150455,0.49902828208495453,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,66,1.3958917892688854,1.3497832936288656,0.4945781130429511,0.5054218869570489,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,68,1.1823128284707152,1.1898668023538068,0.5007080560413752,0.4992919439586248,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,70,1.5933159640983436,1.5465624225337862,0.49372132703833793,0.5062786729616621,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,71,0.9825921638196458,0.9377053838748017,0.4962917755579672,0.5037082244420328,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,72,1.4758978427865899,1.4291087192691423,0.49418266908676634,0.5058173309132337,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,76,1.0754908280401252,1.0308805677806958,0.4959622170651299,0.5040377829348701,neither_clear_margin
NONO,HAP1-0426-CT,CT,426,78,1.1704712616809119,1.125483644922485,0.49556675153014296,0.504433248469857,neither_clear_margin
