protein,dataset_name,genotype,date_or_experiment_id,treatment,replicate,video_id,cell_id,track_id,old_classification,final_control_guided_class
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,147,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,148,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,154,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,156,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,3,4,168,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,12,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,31,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,61,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,62,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,64,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,74,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,80,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,84,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,89,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,90,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,91,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,94,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,99,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,100,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,113,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,115,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,117,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,122,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,129,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,133,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,135,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,139,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,142,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,144,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,156,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,167,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,1,168,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,1,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,2,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,3,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,11,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,13,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,20,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,25,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,49,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,55,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,56,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,57,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,69,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,78,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,82,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,93,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,96,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,103,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,2,116,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,7,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,24,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,28,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,29,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,46,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,67,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,78,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,79,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,82,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,83,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,84,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,99,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,100,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,3,113,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,8,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,10,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,12,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,14,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,33,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,52,trapping_like,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,53,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,62,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,67,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,75,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,76,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,80,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,85,mixed,
TDP43,WT-0416-CT,WT,0416,CT,WT-0416-CT,4,4,97,trapping_like,
